Year,AIS + GrIS Annual MB Gt/yr,AIS + GrIS Annual MB Uncertainty Gt/yr,AIS + GrIS Cumulative MB Gt,AIS + GrIS Cumulative MB Uncertainty Gt,AIS + GrIS Annual MB mm/yr,AIS + GrIS Annual MB Uncertainty mm/yr,AIS + GrIS Cumulative MB mm,AIS + GrIS Cumulative MB Uncertainty mm
1992,-54.320591666666665,111.57476666666668,-23.472116666666665,83.25615,0.15333333333333332,-0.31166666666666665,0.065,-0.23083333333333333
1993,-104.5494,103.9689,-110.95154166666667,135.223125,0.29,-0.29,0.30833333333333335,-0.3741666666666667
1994,-195.5413,102.8685,-264.7882583333333,170.36629166666668,0.54,-0.29,0.735,-0.47333333333333333
1995,-127.3879,116.18030833333334,-426.64552499999996,202.92306666666664,0.35333333333333333,-0.32,1.185,-0.5641666666666666
1996,-44.66060000000001,117.17725,-509.823775,234.14005,0.125,-0.33,1.4166666666666667,-0.65
1997,-12.2324,117.57440000000001,-533.0856916666667,261.94148333333334,0.03,-0.33,1.4816666666666667,-0.7266666666666666
1998,-67.4408,118.0534,-575.2226416666666,287.24058333333335,0.19000000000000003,-0.33,1.5975000000000001,-0.7983333333333333
1999,-95.2343,118.5236,-657.7182583333333,310.6612833333333,0.26,-0.33,1.8275,-0.8633333333333333
2000,-53.62550000000001,116.25150000000001,-730.4144416666667,332.0803833333333,0.15,-0.32,2.029166666666667,-0.9225
2001,-108.3174,117.86970000000001,-813.6647333333334,352.135025,0.3,-0.33,2.2600000000000002,-0.9783333333333334
2002,-164.50754166666664,133.01661666666666,-951.1377583333333,374.121775,0.4575,-0.36999999999999994,2.6425,-1.0391666666666668
2003,-226.13177499999998,126.03801666666668,-1146.6589083333333,396.13350833333334,0.6283333333333333,-0.35083333333333333,3.1833333333333336,-1.1
2004,-250.25426666666667,126.41780833333333,-1389.30545,415.46236666666664,0.6941666666666667,-0.3516666666666666,3.859166666666667,-1.1541666666666666
2005,-255.49562500000002,123.02851666666668,-1641.1965583333333,433.78079166666663,0.7091666666666666,-0.34,4.560833333333333,-1.2041666666666666
2006,-315.45210833333334,126.49288333333334,-1924.9849833333335,451.35041666666666,0.875,-0.3491666666666666,5.346666666666667,-1.2541666666666667
2007,-358.0223833333334,121.58,-2268.152183333333,468.06445,0.9958333333333332,-0.3383333333333334,6.3,-1.3
2008,-352.0034083333333,131.13689166666666,-2623.6272583333334,484.8289,0.9791666666666666,-0.365,7.288333333333334,-1.3466666666666667
2009,-372.9832666666667,139.62254166666665,-2981.742275,503.38775000000004,1.0366666666666668,-0.38833333333333336,8.284166666666666,-1.3975
2010,-461.49288333333334,131.95090833333333,-3404.847133333333,521.9532916666667,1.2825,-0.3666666666666667,9.4575,-1.45
2011,-504.45364166666667,133.28870833333335,-3893.2797250000003,538.0655083333334,1.4008333333333332,-0.36916666666666664,10.815,-1.4941666666666666
2012,-482.08258333333333,138.53051666666667,-4386.481591666667,555.2944916666667,1.3391666666666666,-0.3858333333333333,12.185833333333333,-1.5416666666666667
2013,-399.5851,135.78345833333333,-4823.653625,571.82115,1.11,-0.37666666666666665,13.3975,-1.5891666666666666
2014,-382.793625,122.00900833333333,-5211.558583333333,586.127375,1.0625,-0.3408333333333333,14.476666666666667,-1.6275000000000002
2015,-313.8497,128.15913333333333,-5560.719483333333,599.1731583333334,0.8733333333333334,-0.3558333333333333,15.446666666666667,-1.665
2016,-233.54615,129.73575,-5831.079725,613.1040166666667,0.6491666666666667,-0.35916666666666663,16.198333333333334,-1.7033333333333331
2017,-162.89693333333332,130.88909166666667,-6025.378416666666,626.8905583333334,0.45249999999999996,-0.365,16.736666666666668,-1.7416666666666665
2018,-361.80586666666665,148.68999166666666,-6271.125716666666,641.7131916666666,1.0058333333333334,-0.41333333333333333,17.419999999999998,-1.7825
2019,-612.11175,164.014975,-6795.171533333333,661.4294249999999,1.6991666666666667,-0.4575,18.878333333333334,-1.8366666666666667
2020,-490.14459166666666,198.0809,-7343.111033333334,686.0589416666667,1.3591666666666669,-0.5516666666666667,20.398333333333333,-1.9058333333333335
