Year,GrIS Annual MB Gt/yr,GrIS Annual MB Uncertainty Gt/yr,GrIS Cumulative MB Gt,GrIS Cumulative MB Uncertainty Gt,GrIS Annual MB mm/yr,GrIS Annual MB Uncertainty mm/yr,GrIS Cumulative MB mm,GrIS Cumulative MB Uncertainty mm
1992,-7.7667,56.4,-4.206941666666666,39.68425833333333,0.02,-0.16,0.011666666666666667,-0.11083333333333334
1993,-24.366699999999998,56.4333,-20.965275000000002,69.731475,0.07,-0.16,0.05833333333333333,-0.19416666666666668
1994,-106.2667,56.4,-89.69444166666666,89.79228333333333,0.3,-0.16,0.24916666666666668,-0.25
1995,-45.1431,77.5023,-162.8525,112.87765,0.13,-0.22,0.45416666666666666,-0.31416666666666665
1996,7.9655,78.5174,-179.22844999999998,137.2982,-0.02,-0.22,0.49833333333333335,-0.37999999999999995
1997,-4.68,80.1553,-178.11260000000001,158.63283333333334,0.01,-0.22,0.49499999999999994,-0.44
1998,-54.451699999999995,80.167,-209.7523,177.75595833333333,0.15,-0.22,0.5825,-0.49333333333333335
1999,-74.3714,79.7626,-274.99381666666665,194.9203,0.21,-0.22,0.7641666666666667,-0.5408333333333334
2000,-29.4632,78.7424,-325.0398833333333,210.41026666666667,0.08,-0.22,0.9033333333333333,-0.585
2001,-76.8372,80.6016,-380.16401666666667,225.02008333333333,0.21,-0.22,1.0558333333333334,-0.625
2002,-132.1088,102.8109,-486.9399833333334,243.547475,0.36999999999999994,-0.29,1.3533333333333333,-0.6749999999999999
2003,-155.9038833333333,84.13723333333333,-629.6720833333333,261.23113333333333,0.43249999999999994,-0.2325,1.7474999999999998,-0.7258333333333332
2004,-182.53205833333334,85.21551666666666,-800.9787333333334,274.27945833333337,0.5066666666666667,-0.23666666666666666,2.225,-0.7616666666666667
2005,-198.47554166666666,82.44756666666667,-992.4296083333334,286.82699166666663,0.5525000000000001,-0.23,2.7566666666666664,-0.7966666666666667
2006,-230.80113333333335,85.60747500000001,-1206.183675,298.84045,0.6425,-0.2383333333333333,3.3508333333333336,-0.83
2007,-243.57200833333334,80.57229166666666,-1446.4506416666666,310.17107500000003,0.6766666666666666,-0.22416666666666665,4.0175,-0.8616666666666667
2008,-241.03741666666667,83.49705,-1689.1582250000001,320.8578166666667,0.6683333333333333,-0.23,4.690833333333333,-0.8916666666666666
2009,-262.71004999999997,89.06734166666666,-1937.6935833333334,332.1562083333333,0.73,-0.245,5.381666666666667,-0.9233333333333333
2010,-318.2391416666667,83.09115,-2233.5735666666665,343.43019166666664,0.8850000000000001,-0.23083333333333333,6.204166666666667,-0.9541666666666666
2011,-333.16905,92.423425,-2560.4135333333334,354.387225,0.9249999999999999,-0.2575,7.1125,-0.9841666666666667
2012,-314.34576666666663,99.72038333333334,-2887.8044083333334,367.21272500000003,0.8733333333333334,-0.2758333333333333,8.022499999999999,-1.02
2013,-212.2775,98.48435,-3144.4930083333334,380.59774999999996,0.5891666666666667,-0.27416666666666667,8.734166666666667,-1.0575
2014,-182.01115000000001,81.63045833333332,-3337.8160000000003,390.96200833333336,0.5058333333333334,-0.22833333333333336,9.270833333333334,-1.0866666666666667
2015,-185.73343333333332,83.41200833333333,-3523.8616416666664,399.550275,0.515,-0.22916666666666666,9.789166666666667,-1.1091666666666666
2016,-169.62786666666668,81.45433333333334,-3700.181416666667,407.9602333333333,0.47,-0.22666666666666668,10.279166666666667,-1.1325
2017,-86.49073333333332,74.78955833333333,-3824.8862000000004,415.4873333333333,0.24083333333333334,-0.20833333333333334,10.624166666666666,-1.155
2018,-186.22563333333335,98.86108333333334,-3949.0285500000005,423.98432499999996,0.5175,-0.2733333333333334,10.969166666666666,-1.1775
2019,-444.4512,93.05820833333333,-4291.499733333333,435.7295,1.2341666666666666,-0.26,11.920833333333334,-1.21
2020,-397.29752499999995,121.298275,-4712.299883333333,448.8865083333333,1.1025,-0.3333333333333333,13.089999999999998,-1.2475
