Year,OHC0-700m,Smoothed OHC0-700m,"Error, 95% CI OHC0-700m",OHC700-2000m,Smoothed OHC700-2000m,"Error, 95% CI OHC700-2000m",OHC0-2000m,Smoothed OHC0-2000m,"Error, 95% CI OHC0-2000m",OHC2000-6000m,Smoothed OHC2000-6000m,"Error, 95% CI OHC2000-6000m"
1940,-24.679166666666664,-25.084999999999997,9.345833333333333,-10.236666666666666,-10.261666666666667,8.225833333333334,-34.9175,-35.343333333333334,13.625833333333333,,,
1941,-24.91333333333333,-24.771666666666665,8.776666666666666,-10.225833333333332,-10.2075,7.911666666666666,-35.14,-34.97666666666667,12.684166666666668,,,
1942,-22.325833333333335,-22.3875,8.885,-9.863333333333333,-9.864166666666668,8.046666666666667,-32.1875,-32.2525,12.79,,,
1943,-21.281666666666666,-21.355833333333333,9.012500000000001,-9.626666666666667,-9.599166666666667,8.343333333333334,-30.910833333333333,-30.955833333333334,13.38,,,
1944,-21.326666666666668,-21.146666666666665,8.74,-9.680833333333334,-9.709999999999999,8.529166666666667,-31.00583333333333,-30.855833333333333,13.3575,,,
1945,-21.058333333333334,-21.273333333333333,9.148333333333333,-10.125833333333334,-10.084166666666667,8.411666666666667,-31.185000000000002,-31.356666666666666,13.596666666666666,,,
1946,-20.878333333333334,-20.676666666666666,8.365,-9.469166666666666,-9.5325,7.840833333333333,-30.34583333333333,-30.212500000000002,12.549166666666666,,,
1947,-20.430833333333332,-20.618333333333332,7.519166666666667,-9.244166666666667,-9.24,7.335833333333333,-29.675,-29.8575,11.481666666666667,,,
1948,-23.61583333333333,-23.374166666666667,7.447500000000001,-9.125833333333334,-9.1275,6.896666666666667,-32.74,-32.50083333333333,11.089999999999998,,,
1949,-22.9675,-23.081666666666667,7.233333333333333,-9.025,-9.0525,6.314166666666666,-31.991666666666664,-32.13333333333333,10.4,,,
1950,-23.143333333333334,-22.823333333333334,6.3183333333333325,-9.394166666666667,-9.349166666666667,5.844166666666666,-32.53666666666667,-32.17166666666667,9.501666666666667,,,
1951,-19.5925,-20.015,5.818333333333334,-9.295833333333333,-9.278333333333334,5.579999999999999,-28.888333333333335,-29.291666666666668,8.911666666666667,,,
1952,-20.958333333333332,-20.779166666666665,6.035,-8.935833333333333,-8.924166666666666,5.629166666666666,-29.894166666666667,-29.703333333333333,9.066666666666666,,,
1953,-20.334166666666665,-20.403333333333332,6.415,-8.389166666666666,-8.435,5.745,-28.724166666666665,-28.840833333333332,9.474166666666667,,,
1954,-18.909166666666668,-19.101666666666667,6.243333333333333,-8.540833333333333,-8.545833333333333,5.555,-27.449166666666667,-27.651666666666667,9.228333333333333,,,
1955,-21.833333333333332,-21.588333333333335,5.573333333333333,-9.360833333333334,-9.353333333333333,4.9624999999999995,-31.19333333333333,-30.941666666666666,8.305,,,
1956,-21.8,-21.8475,4.418333333333333,-9.834999999999999,-9.823333333333332,4.318333333333333,-31.638333333333335,-31.67,6.82,,,
1957,-20.905833333333334,-20.738333333333333,3.9408333333333334,-9.726666666666667,-9.735833333333334,4.068333333333333,-30.635,-30.4725,6.325833333333333,,,
1958,-18.074166666666667,-18.501666666666665,4.593333333333334,-9.738333333333333,-9.76,4.373333333333334,-27.810833333333335,-28.261666666666667,7.105,,,
1959,-19.554166666666667,-19.26,4.693333333333333,-9.9525,-9.89,3.9625,-29.506666666666664,-29.150000000000002,6.825833333333333,,,
1960,-18.338333333333335,-18.644166666666667,4.199166666666667,-9.290833333333333,-9.296666666666667,3.8866666666666667,-27.628333333333334,-27.941666666666666,6.425,,,
1961,-19.84,-19.343333333333334,4.233333333333333,-8.31,-8.298333333333334,3.7883333333333336,-28.150000000000002,-27.640833333333333,6.366666666666667,,,
1962,-16.1725,-16.628333333333334,3.76,-7.580000000000001,-7.654166666666666,3.483333333333333,-23.754166666666666,-24.2825,5.741666666666667,,,
1963,-17.956666666666667,-17.816666666666666,3.3633333333333333,-7.694166666666667,-7.700833333333333,3.2550000000000003,-25.647499999999997,-25.52,5.306666666666667,,,
1964,-20.30333333333333,-20.405,3.4891666666666663,-7.484999999999999,-7.434166666666666,3.1366666666666667,-27.78916666666667,-27.84,5.354166666666667,,,
1965,-21.67,-21.359166666666667,3.2550000000000003,-7.1499999999999995,-7.125,3.095833333333333,-28.819166666666664,-28.48166666666667,5.086666666666667,,,
1966,-18.838333333333335,-19.000833333333333,3.0975,-6.954999999999999,-7.0075,2.8258333333333336,-25.793333333333333,-26.01,4.743333333333333,,,
1967,-19.394166666666667,-19.495,2.6266666666666665,-7.425,-7.4433333333333325,2.58,-26.819999999999997,-26.936666666666667,4.145833333333333,,,
1968,-20.950833333333332,-20.815833333333334,2.356666666666667,-7.868333333333333,-7.835833333333333,2.470833333333333,-28.820000000000004,-28.650000000000002,3.8683333333333336,,,
1969,-21.089166666666667,-21.139166666666668,2.2375000000000003,-7.91,-7.875,2.5066666666666664,-28.998333333333335,-29.013333333333335,3.7183333333333333,,,
1970,-20.406666666666666,-20.371666666666666,3.0583333333333336,-7.276666666666667,-7.295833333333333,2.828333333333333,-27.6825,-27.669166666666666,4.5975,,,
1971,-18.820833333333333,-18.829166666666666,2.8641666666666663,-6.781666666666666,-6.831666666666667,2.8191666666666664,-25.603333333333335,-25.661666666666665,4.364999999999999,,,
1972,-18.395,-18.373333333333335,2.776666666666667,-7.3066666666666675,-7.296666666666667,2.8341666666666665,-25.700833333333332,-25.669166666666666,4.3675,,,
1973,-18.085833333333333,-18.149166666666666,2.76,-7.447500000000001,-7.368333333333333,2.825833333333333,-25.5325,-25.5175,4.4591666666666665,,,
1974,-16.9875,-17.019166666666667,3.0399999999999996,-6.341666666666666,-6.3741666666666665,2.9233333333333333,-23.329166666666666,-23.393333333333334,4.700833333333333,,,
1975,-16.454166666666666,-16.500833333333333,3.138333333333333,-6.0633333333333335,-6.075,2.8791666666666664,-22.5175,-22.576666666666668,4.689166666666666,,,
1976,-15.950000000000001,-15.65,3.154166666666667,-5.966666666666666,-6.015833333333333,2.794166666666667,-21.916666666666668,-21.666666666666668,4.6499999999999995,,,
1977,-14.36,-14.569166666666668,3.078333333333333,-6.3625,-6.348333333333334,2.6308333333333334,-20.721666666666668,-20.919166666666666,4.408333333333333,,,
1978,-15.845833333333333,-15.865,2.686666666666667,-6.809166666666666,-6.836666666666666,2.48,-22.656666666666666,-22.7025,3.8808333333333334,,,
1979,-16.1025,-15.665,2.279166666666667,-7.1816666666666675,-7.148333333333333,2.3441666666666667,-23.285,-22.813333333333333,3.4308333333333336,,,
1980,-13.466666666666667,-13.955833333333333,2.3266666666666667,-6.984166666666667,-6.9558333333333335,2.328333333333333,-20.451666666666664,-20.912499999999998,3.418333333333333,,,
1981,-14.829166666666666,-14.735,2.5458333333333334,-6.9075,-6.9375,2.28,-21.7375,-21.674166666666665,3.485,,,
1982,-15.667499999999999,-15.574166666666668,2.1666666666666665,-6.944166666666667,-6.9175,2.018333333333333,-22.610833333333332,-22.49,3.0741666666666667,,,
1983,-15.631666666666666,-15.5775,2.0608333333333335,-6.454999999999999,-6.43,1.835,-22.08666666666667,-22.00583333333333,3.0075,,,
1984,-14.830833333333333,-14.751666666666667,2.105,-5.6925,-5.719166666666666,1.8491666666666668,-20.525000000000002,-20.471666666666668,3.0058333333333334,,,
1985,-13.5875,-13.804166666666667,1.9725,-5.34,-5.3025,1.8941666666666668,-18.92833333333333,-19.105833333333333,2.9358333333333335,,,
1986,-14.179166666666667,-14.2725,1.9058333333333335,-4.883333333333333,-4.965833333333333,1.8283333333333334,-19.061666666666667,-19.24,2.8158333333333334,,,
1987,-15.15,-15.015,1.75,-5.325833333333334,-5.351666666666667,1.6325,-20.475833333333334,-20.36916666666667,2.544166666666667,,,
1988,-13.474166666666667,-13.63,1.7874999999999999,-6.184166666666666,-6.096666666666667,1.5683333333333334,-19.658333333333335,-19.728333333333335,2.4725,,,
1989,-13.463333333333333,-13.386666666666665,1.8324999999999998,-5.9225,-5.8999999999999995,1.6125,-19.385833333333334,-19.285833333333333,2.445,,,
1990,-13.565,-13.340833333333334,2.0741666666666667,-5.4433333333333325,-5.4991666666666665,1.5808333333333335,-19.0075,-18.837500000000002,2.4825,,,
1991,-11.656666666666666,-12.014166666666668,2.216666666666667,-5.734999999999999,-5.7075,1.7483333333333333,-17.39,-17.724166666666665,2.7866666666666666,,,
1992,-13.373333333333333,-13.204166666666666,2.0158333333333336,-5.178333333333334,-5.2425,1.6216666666666668,-18.555833333333336,-18.4475,2.6999999999999997,-1.9275,-1.9425,0.77
1993,-13.803333333333335,-13.580833333333333,1.7683333333333333,-5.134166666666666,-5.008333333333334,1.4725,-18.9375,-18.589166666666667,2.4233333333333333,-2.0908333333333333,-2.0841666666666665,0.7283333333333334
1994,-12.091666666666667,-12.278333333333334,1.6666666666666667,-4.555833333333333,-4.680833333333333,1.4833333333333334,-16.6475,-16.959999999999997,2.28,-2.0225,-2.0258333333333334,0.7225
